Q6ZSS7,Q9BVK2-1
Q08117-2,Q4VC12-1
P45983-4,Q9BY84-1
Q05D32-1,Q8N165
Q9H0H0,Q9H4E7
Q6Q788,Q9NX76
Q9NYA3,Q9UL15-1
P27658,Q0VD86-1
A0A087WVE9,P25791-1
P26371,Q02930-4
Q6KB66-2,Q9BRX5-1
Q5JX71,Q9H115-1
Q5T751,Q5TA76
P68871,Q6B0K9
Q96JF0-2,Q9NP94-1
A0A087WVS8,Q96HA8-1
Q5T7V8-2,Q96FZ5-1
P55061-1,Q8TED1
Q7Z5P4-1,Q8N6F1-2
Q8N720-1,Q8WV92
P07237,Q8NE01-1
Q8IUG1,Q8IYI8
Q96DR5,Q9NX76
Q495M9,Q9BWG6-1
O95273-1,Q96EG3
O76064-1,O95208-2
P67870,Q9NZH5-2
P34981,P52803
Q9UHP3-2,Q9UJV3-2
Q9BT49,Q9UL42
Q96LM5,Q9BU76-1
P15622-3,Q9BYV2-1
Q6P158-1,Q96SQ5-1
Q07002-2,Q13136-1
Q5VVQ6-1,Q9Y4K3
Q13596-1,Q5T9G4-2
Q7Z3C6-3,Q8IWZ5-1
A6NEM1-1,P15622-3
P30825,P43378
O15529,Q9Y6I9
A0A0C4DGE8,Q8TBB1-1
O00471,Q9Y2D4-1
Q5JR59-3,Q8TAP4-1
Q07627,Q6ZNH5
O75360,Q8IWZ5-1
P60410,Q8NEC5
A0A0C3SFZ9,Q8IWZ5-1
B0QYN7,Q9Y2F9-2
Q8NHY3-1,Q9NYB9-2
Q8N0S2-1,Q9BXY8-1
O14735-1,Q99675
O60504-1,Q8TF74-1
Q3LI76,Q9BYQ6
O95183,Q8TED1
Q13526,Q8TDT2
P0C7H8,Q9NUL5-4
Q9BXJ1-1,Q9NWQ9
P60409,P60410
O14921,Q9BWW8
H7C4R2,Q96GE4-1
O95236-2,Q16623-1
Q15125,Q9H2L4
P14373-1,Q13671-1
C9J9W2,Q86UW9-1
Q92569-1,Q96LK8
Q7Z7F0-3,Q9UHX1-2
A0A0C4DFN3,O75208-1
P50222,Q9NRD5-1
P46439,Q92917
O43257,P32243-2
O76011,Q8N4L8-1
Q08117-2,Q7Z6R9
Q6ZVH7-3,Q99471-1
P49447-1,Q9BZV2
Q96EZ8-1,Q9H3D4-1
B8A4K4,P28799-1
Q8IYX7,Q9H0C1
Q7L273,Q8HWS3
P78358-1,Q96FV9-1
Q96HT8,Q9UBU8-2
A0A0C4DG62,Q9BU76-1
Q8TAE8,Q9NYA3
O14508,O75716
Q96H86-1,Q9H6L4-1
O95870-1,Q96AN5-1
O43395-1,Q9BWT7-1
D6RH21,Q53G59-1
P54259,Q96F45-1
P60409,Q8TAQ5-1
J3KP16,O43559
Q3LI72,Q9BVN2-2
Q9HB20,Q9HB20
Q8WYA0-3,Q96LB3-2
