ENSP00000364591,ENSP00000435096
ENSP00000323591,ENSP00000354590
ENSP00000334560,ENSP00000391560
ENSP00000252713,ENSP00000326981
ENSP00000360876,ENSP00000484770
ENSP00000264827,ENSP00000333869
ENSP00000216756,ENSP00000342374
ENSP00000229418,ENSP00000257940
ENSP00000343785,ENSP00000375429
ENSP00000297596,ENSP00000354675
ENSP00000310255,ENSP00000351695
ENSP00000263246,ENSP00000432008
ENSP00000377570,ENSP00000405442
ENSP00000345270,ENSP00000360821
ENSP00000381821,ENSP00000469330
ENSP00000229471,ENSP00000340607
ENSP00000359991,ENSP00000362258
ENSP00000305975,ENSP00000334869
ENSP00000334696,ENSP00000436818
ENSP00000250831,ENSP00000416959
ENSP00000307155,ENSP00000416959
ENSP00000222224,ENSP00000231524
ENSP00000330720,ENSP00000364278
ENSP00000356694,ENSP00000377018
ENSP00000230340,ENSP00000309871
ENSP00000315417,ENSP00000375076
ENSP00000326022,ENSP00000411145
ENSP00000344544,ENSP00000457438
ENSP00000303482,ENSP00000394259
ENSP00000299339,ENSP00000368858
ENSP00000301995,ENSP00000460487
ENSP00000379754,ENSP00000450461
ENSP00000411822,ENSP00000436679
ENSP00000344772,ENSP00000362021
ENSP00000344260,ENSP00000357086
ENSP00000216029,ENSP00000286544
ENSP00000475216,ENSP00000482803
ENSP00000243112,ENSP00000370104
ENSP00000408860,ENSP00000483103
ENSP00000276594,ENSP00000379592
ENSP00000265164,ENSP00000287387
ENSP00000254963,ENSP00000309953
ENSP00000352064,ENSP00000380565
ENSP00000303118,ENSP00000357801
ENSP00000252979,ENSP00000379754
ENSP00000305255,ENSP00000413152
ENSP00000384894,ENSP00000489859
ENSP00000272462,ENSP00000356237
ENSP00000202556,ENSP00000353377
ENSP00000375076,ENSP00000417330
ENSP00000343990,ENSP00000369625
ENSP00000302100,ENSP00000362090
ENSP00000252597,ENSP00000261461
ENSP00000298585,ENSP00000419839
ENSP00000279206,ENSP00000288177
ENSP00000375268,ENSP00000417587
ENSP00000299824,ENSP00000368717
ENSP00000353742,ENSP00000366955
ENSP00000341346,ENSP00000365442
ENSP00000253796,ENSP00000277480
ENSP00000310255,ENSP00000317714
ENSP00000339647,ENSP00000386453
ENSP00000309826,ENSP00000332162
ENSP00000310255,ENSP00000338562
ENSP00000293670,ENSP00000354929
ENSP00000335565,ENSP00000347038
ENSP00000334560,ENSP00000463706
ENSP00000233813,ENSP00000450998
ENSP00000221561,ENSP00000348242
ENSP00000345179,ENSP00000427941
ENSP00000316152,ENSP00000450842
ENSP00000357377,ENSP00000380435
ENSP00000354675,ENSP00000385893
ENSP00000238994,ENSP00000296122
ENSP00000222248,ENSP00000462298
ENSP00000241651,ENSP00000389714
ENSP00000321475,ENSP00000469441
ENSP00000321475,ENSP00000332602
ENSP00000215095,ENSP00000286544
ENSP00000256433,ENSP00000261867
ENSP00000330836,ENSP00000366950
ENSP00000238497,ENSP00000456223
ENSP00000349465,ENSP00000359837
ENSP00000301917,ENSP00000332624
ENSP00000221972,ENSP00000309402
ENSP00000301618,ENSP00000375476
ENSP00000334985,ENSP00000405985
ENSP00000257013,ENSP00000276925
ENSP00000230340,ENSP00000247668
ENSP00000243706,ENSP00000418287
ENSP00000319897,ENSP00000354206
ENSP00000261507,ENSP00000269703
ENSP00000230321,ENSP00000478473
ENSP00000292169,ENSP00000346294
ENSP00000355605,ENSP00000365465
ENSP00000354929,ENSP00000381005
ENSP00000358238,ENSP00000463837
ENSP00000298181,ENSP00000306760
ENSP00000273062,ENSP00000328213
ENSP00000290231,ENSP00000376154
ENSP00000221561,ENSP00000224237
ENSP00000313881,ENSP00000346251
ENSP00000319240,ENSP00000366404
ENSP00000254250,ENSP00000321309
ENSP00000298466,ENSP00000322885
ENSP00000335242,ENSP00000381009
ENSP00000309432,ENSP00000318845
ENSP00000375108,ENSP00000396976
ENSP00000353346,ENSP00000477619
ENSP00000243878,ENSP00000452068
ENSP00000265334,ENSP00000465650
ENSP00000360054,ENSP00000366006
ENSP00000316940,ENSP00000433277
ENSP00000310301,ENSP00000370746
ENSP00000373713,ENSP00000481956
ENSP00000295066,ENSP00000406407
ENSP00000334696,ENSP00000377570
ENSP00000295066,ENSP00000361278
ENSP00000300849,ENSP00000474130
